task,state,attack,epsilon,epsilon_label,sigma,auc,tpr_at_1pct,auc_sparse,tpr_at_1pct_sparse,n_records,single_feature,n_features_joint
ACSIncome,KY,joint,1.0,1.0,4.844805262605389,0.576467125,0.01125,0.5957542315084631,0.012598425196850394,4000,AGEP,10
ACSIncome,KY,single,2.0,2.0,2.4224026313026945,0.6137811874999999,0.03275,0.5328798185941044,0.19047619047619047,4000,AGEP,10
ACSIncome,KY,joint,2.0,2.0,2.4224026313026945,0.6385119375,0.025,0.6772294896030246,0.019130434782608695,4000,AGEP,10
ACSIncome,KY,single,5.0,5.0,0.9689610525210778,0.7641744999999999,0.08325,0.7430555555555555,0.08333333333333333,4000,AGEP,10
ACSIncome,KY,joint,5.0,5.0,0.9689610525210778,0.8232465,0.095,0.8517256345053548,0.06468531468531469,4000,AGEP,10
ACSIncome,KY,single,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,KY,joint,inf,inf,0.0,1.0,1.0,1.0,1.0,4000,AGEP,10
ACSIncome,LA,single,0.1,0.1,48.44805262605389,0.5074455,0.0105,0.6351606805293005,0.30434782608695654,4000,AGEP,10
ACSIncome,LA,joint,0.1,0.1,48.44805262605389,0.49683568749999996,0.00825,0.48696136301050036,0.010380622837370242,4000,AGEP,10
ACSIncome,LA,single,0.5,0.5,9.689610525210778,0.5181193125,0.0095,0.37847222222222227,0.0,4000,AGEP,10
ACSIncome,LA,joint,0.5,0.5,9.689610525210778,0.528409875,0.009,0.527460058097313,0.006535947712418301,4000,AGEP,10
ACSIncome,LA,single,1.0,1.0,4.844805262605389,0.5557201875,0.01275,0.38609467455621305,0.0,4000,AGEP,10
ACSIncome,LA,joint,1.0,1.0,4.844805262605389,0.5734271875,0.0115,0.6041482861157403,0.006600660066006601,4000,AGEP,10
